"address","Apart","gu","dong","long","lat","dist_from_univ","dist_from_middleschool","dist_from_bus","dist_from_hospital"
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,2.12,0.12,0.05,0.57
"가마산로27길 66","아스타 빌","구로구","구로동",126.8901565,37.49961197,1.98,0.23,0.09,0.45
"가마산로50길 27","대성유니드","영등포구","신길동",126.902839,37.50135508,3.1,0.29,0.02,0.51
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,3.58,0.65,0.03,0.81
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,3.65,0.64,0.02,0.94
"가산로 106","주상복합두산","금천구","가산동",126.893612,37.47539304,3.6,0.21,0.06,0.39
"가산로 147","가산지웰에스테이트","금천구","가산동",126.8905896,37.47835784,3.18,0.62,0.02,0.3
"가산로 99","두산","금천구","가산동",126.8936119,37.47461382,3.67,0.18,0.03,0.4
"가재울로 45","남가좌동현대","서대문구","남가좌동",126.9214214,37.5750966,0.6,0.35,0.02,1.15
"가재울로4길 46","명지플러스빌(B)","서대문구","남가좌동",126.9240424,37.57565117,0.51,0.58,0.11,1.11
"가재울로6길 53","백련미라보","서대문구","남가좌동",126.9239021,37.57646874,0.42,0.58,0.09,1.21
"가재울미래로 2","DMC파크뷰자이1단지","서대문구","남가좌동",126.9184223,37.57018096,1.2,0.52,0.18,0.94
"가재울미래로 2","DMC파크뷰자이2단지","서대문구","남가좌동",126.9184223,37.57018096,1.2,0.52,0.18,0.94
"가재울미래로 2","DMC파크뷰자이5단지","서대문구","남가좌동",126.9184223,37.57018096,1.2,0.52,0.18,0.94
"가재울미래로 2","DMC파크뷰자이3단지","서대문구","남가좌동",126.9184223,37.57018096,1.2,0.52,0.18,0.94
"가좌로 100","명가","서대문구","홍은동",126.9268708,37.58180684,0.35,0.34,0.07,0.87
"가좌로 285","모델리안1","은평구","신사동",126.9123693,37.5937554,0.8,0.67,0.06,0.76
"가좌로 291","다원그린","은평구","신사동",126.9118779,37.59409179,0.76,0.66,0.12,0.75
"가좌로 295","명남더블레스(39-4)","은평구","신사동",126.9115407,37.59438855,0.73,0.66,0.16,0.74
"가좌로 297","명남더블레스(39-19)","은평구","신사동",126.9114219,37.59448162,0.72,0.66,0.18,0.74
"가좌로 303","회림","은평구","신사동",126.9109723,37.59483781,0.68,0.67,0.12,0.73
"가좌로 34","홍연","서대문구","연희동",126.9320063,37.5776004,0.81,0.5,0.01,0.61
"가좌로 341","미래하임(아파트)","은평구","신사동",126.9075028,37.59701516,0.59,0.57,0.06,0.84
"가좌로 342","홍익","은평구","신사동",126.9078807,37.59752818,0.53,0.57,0.09,0.79
"가좌로 344","현대2","은평구","신사동",126.9077412,37.59750517,0.54,0.56,0.09,0.79
"가좌로 345","예성그린","은평구","신사동",126.9072509,37.59714782,0.59,0.57,0.08,0.82
"가좌로 391","신사씨티","은평구","신사동",126.9042541,37.60049935,0.69,0.14,0.2,0.43
"가좌로10길 25","세종레디안","은평구","응암동",126.9167915,37.59309864,0.97,0.85,0.08,0.59
