"address","Apart","gu","dong","long","lat"
"호암로 399","삼성산주공(주공3단지)","관악구","신림동",126.9259907,37.46147438
"호암로 417","국제산장","관악구","신림동",126.9275559,37.46034222
"호암로 519","벽산블루밍","관악구","신림동",126.9314568,37.46395405
"호암로 566","상목에버빌B","관악구","신림동",126.9322404,37.46805468
"호암로 568","상목에버빌A","관악구","신림동",126.9323035,37.4681761
"호암로16길 11","청화","관악구","신림동",126.93246,37.46341297
"홍릉로 13","현대코아","동대문구","청량리동",127.0445643,37.58147017
"홍릉로10길 48","홍릉동부","동대문구","청량리동",127.045565,37.5862955
"홍연2길 21","연희에스엠","서대문구","연희동",126.9285017,37.57397769
"홍연6길 40","홍연(723-9)","서대문구","연희동",126.9322696,37.57660953
"홍연8길 7","홍연","서대문구","연희동",126.9314328,37.57645704
"홍연길 41","홍연","서대문구","연희동",126.9293053,37.5757943
"홍연길 77","한인트윈빌","서대문구","연희동",126.9307738,37.5766602
"홍은중앙로 149","홍은동풍림아이원","서대문구","홍은동",126.949336,37.60357002
"홍은중앙로 156","초원","서대문구","홍은동",126.9497136,37.60405433
"홍은중앙로 81","동일","서대문구","홍은동",126.946843,37.598515
"홍은중앙로1길 33","유원","서대문구","홍은동",126.9449635,37.5971793
"홍은중앙로1길 65","동원베네스트","서대문구","홍은동",126.9446583,37.59829041
"홍익로 10","서교푸르지오","마포구","서교동",126.9236277,37.55371511
"홍제내2길 67","중앙하이츠","서대문구","홍제동",126.9365819,37.5870669
"홍제내길 168","남양","서대문구","홍제동",126.9382809,37.58910689
"홍제내길 174","조한","서대문구","홍제동",126.9387189,37.58907425
"홍제천로 120","홍연","서대문구","연희동",126.9273062,37.5751527
"홍제천로 128","제일","서대문구","연희동",126.9282483,37.5757694
"홍제천로 194","우국한마음","서대문구","연희동",126.9344511,37.57888696
"홍제천로 202","에코빌리지","서대문구","연희동",126.9352064,37.57917356
"화곡로 176","성재센트리움아파트","강서구","화곡동",126.8413483,37.54180492
"화곡로 176","근상프리즘(1076-2)","강서구","화곡동",126.8413483,37.54180492
"화곡로 242","근상프리즘","강서구","화곡동",126.8456277,37.54653741
"화곡로 292","서광프리메라","강서구","화곡동",126.8485744,37.55026289
